"Timestamp","What is your name or handle ?","Pick a number","When was the first official AI program invented?","What advances have allowed AI research to expand exponentially? Choose all applicable","What can be deemed an AI knowledge engineering bottleneck ?"
"2019/06/09 12:51:39 PM MDT","Lincoln Lee","3","1956","faster computers;algorithmic improvements;access to large amounts of data","Its need to be loaded with enough knowledge before it can start learning"
"2019/06/09 12:51:43 PM MDT","Daekun Kim","1","1956","faster computers;algorithmic improvements;access to large amounts of data","Its need to be loaded with enough knowledge before it can start learning"
"2019/06/09 12:51:44 PM MDT","Robin Yadav","9","1956","faster computers;algorithmic improvements;access to large amounts of data","Fear of the unknown is preventing research funding"
"2019/06/09 12:51:48 PM MDT","davidholcer","8","1956","faster computers;algorithmic improvements;access to large amounts of data","Fear of the unknown is preventing research funding"
"2019/06/09 12:51:59 PM MDT","Sam","5","1956","faster computers;algorithmic improvements;Elon Musk;access to large amounts of data","Its need to be loaded with enough knowledge before it can start learning"
"2019/06/09 12:52:01 PM MDT","emily","8","1956","algorithmic improvements;access to large amounts of data","Its need to be loaded with enough knowledge before it can start learning"
"2019/06/09 12:52:04 PM MDT","Emily","8","1956","faster computers;algorithmic improvements;access to large amounts of data","There is too much misinformation being spread"
"2019/06/09 12:52:06 PM MDT","Tayyib","5","1956","faster computers;algorithmic improvements;access to large amounts of data","Fear of the unknown is preventing research funding"
"2019/06/09 12:52:26 PM MDT","Vincent Kang","8","1956","algorithmic improvements;access to large amounts of data","Its need to be loaded with enough knowledge before it can start learning"
"2019/06/09 12:52:28 PM MDT","Caleb","6","1956","faster computers;algorithmic improvements;Elon Musk;access to large amounts of data","Its need to be loaded with enough knowledge before it can start learning"
"2019/06/09 12:52:29 PM MDT","yeetus ","7","1956","faster computers;algorithmic improvements;access to large amounts of data","Its need to be loaded with enough knowledge before it can start learning"
"2019/06/09 12:52:42 PM MDT","Isaiah","7","1956","faster computers;algorithmic improvements;access to large amounts of data","Fear of the unknown is preventing research funding"
"2019/06/09 12:53:14 PM MDT","Summer","10","1956","access to large amounts of data","Its need to be loaded with enough knowledge before it can start learning"
"2019/06/09 12:53:16 PM MDT","minhye","7","1956","algorithmic improvements","There is too much misinformation being spread"
"2019/06/09 12:53:31 PM MDT","Janette Kim","1","1956","algorithmic improvements;access to large amounts of data","Fear of the unknown is preventing research funding"
"2019/06/09 12:54:00 PM MDT","Alex ","6","1990","faster computers;algorithmic improvements;access to large amounts of data","Its need to be loaded with enough knowledge before it can start learning"
